City Name,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness%,Wind MPH
Saint George,BM,32.38,-64.68,83.14,70,40,9.17
Ushuaia,AR,-54.8,-68.3,33.8,80,40,20.8
Quatre Cocos,MU,-20.21,57.76,66.09,88,40,2.24
Rikitea,PF,-23.12,-134.97,72.25,75,78,11.12
Brae,GB,60.4,-1.35,55.4,93,100,5.82
Mnogovershinnyy,RU,53.94,139.92,68.23,62,29,3.94
Barrow,US,71.29,-156.79,37.4,86,90,25.28
Hermanus,ZA,-34.42,19.23,46.99,90,0,6.69
Ribeira Grande,PT,38.52,-28.7,74.86,86,4,4.56
New Norfolk,AU,-42.78,147.06,43.3,92,46,1.34
Narsaq,GL,60.92,-46.05,51.8,81,75,5.82
Punta Alta,AR,-38.88,-62.07,42.73,63,13,13.35
Thompson,CA,55.74,-97.86,62.6,72,75,12.75
San Policarpo,PH,12.18,125.51,78.98,85,100,3.58
Los Llanos de Aridane,ES,28.66,-17.92,73.4,73,75,17.22
Seoul,KR,37.57,126.98,75.2,78,90,3.09
Carnarvon,AU,-24.87,113.63,51.8,93,0,8.05
Kirkwood,ZA,-33.4,25.44,50,76,0,5.82
Lorengau,PG,-2.02,147.27,82.65,74,17,0.89
Sidi Ali,DZ,36.1,0.42,75.09,73,0,4.61
Labis,MY,2.38,103.02,74.03,95,97,1.57
Mar del Plata,AR,-38,-57.56,42.8,80,40,9.17
Bluff,NZ,-46.6,168.33,41,91,100,1.01
Hobart,AU,-42.88,147.33,45.82,87,75,10.29
Mahébourg,MU,-20.41,57.7,66.2,88,40,2.24
Kruisfontein,ZA,-34,24.73,48.49,69,0,5.35
Punta Arenas,CL,-53.15,-70.92,35.29,55,40,12.75
Busselton,AU,-33.65,115.33,45.93,98,2,7.85
Saint-Augustin,CA,51.23,-58.65,62.74,82,94,8.12
Kaka,TM,37.35,59.61,80.51,21,0,2.3
Linjiang,CN,41.81,126.91,70.23,87,27,1.16
Guerrero Negro,MX,27.98,-114.06,76.39,58,10,19.95
Kapaa,US,22.08,-159.32,81.41,78,40,23.04
Erdemli,TR,36.6,34.31,81.7,73,0,3.8
Teonthar,IN,24.98,81.65,89.92,56,100,3.98
Deputatsky,RU,69.3,139.9,45.21,74,100,4.54
Hirara,JP,24.8,125.28,84.94,83,40,9.17
Soria,ES,41.67,-2.67,75,56,3,5.01
Khatanga,RU,71.97,102.5,48.24,65,0,6.87
Ukiah,US,39.15,-123.21,95.88,16,1,14.99
Río Gallegos,AR,-51.62,-69.22,33.8,74,40,14.99
Flinders,AU,-34.58,150.86,59.59,92,100,7
Atuona,PF,-9.8,-139.03,79.63,71,1,25.23
Abnūb,EG,27.27,31.15,78.8,39,0,9.17
Broken Hill,AU,-31.95,141.43,42.8,75,0,14.99
Port Alfred,ZA,-33.59,26.89,55.02,80,0,12.75
Kavaratti,IN,10.57,72.64,81.55,82,100,14.05
Yārāda,IN,17.65,83.27,78.8,94,40,2.24
Vaini,TO,-21.2,-175.2,73.4,83,40,11.41
Broome,AU,-17.97,122.23,57.2,44,0,5.82
Adrar,DZ,25.75,-1,95.99,25,4,3.29
Longyearbyen,SJ,78.22,15.64,64.4,55,2,9.17
Tiksi,RU,71.69,128.87,39.52,87,100,14.9
Padang,ID,-0.95,100.35,76.73,79,100,4.5
Yellowknife,CA,62.46,-114.35,67.17,88,75,8.05
Ellisras,ZA,-23.66,27.74,48.38,88,2,7.65
Port Hedland,AU,-20.32,118.57,50,46,97,8.05
Hobyo,SO,5.35,48.53,79.41,74,8,22.5
Esperance,AU,-33.87,121.9,50,100,67,9.17
Havre,US,48.55,-109.68,89.6,19,1,8.05
Bambous Virieux,MU,-20.34,57.76,66.11,88,40,2.24
Saint-Pierre,PM,46.77,-56.17,62.15,89,4,8.79
Cidreira,BR,-30.18,-50.21,60.89,97,100,2.01
Chirongui,YT,-12.93,45.15,68,94,90,20.8
Manokwari,ID,-0.87,134.08,77.32,82,100,4.7
Panabá,MX,21.28,-88.27,89.73,61,57,11.01
Balabac,PH,7.99,117.06,82.24,74,100,1.43
Atambua,ID,-9.11,124.89,68.41,79,62,6.17
Talnakh,RU,69.49,88.4,53.6,58,23,4.47
